anno_festival,decennio_num,decennio,canzone,interprete,autori,posizione,posizione_numerica,fascia_posizione,categoria_risultato,periodo,sede,presentatore,partecipanti,vincitore,artista_spotify,anno_ultimo_rilascio,durata_min,popolarita,fascia_popolarita,url_album,anni_tra_festival_e_rilascio,anni_dal_festival,canzone_storica,ristampa_tardiva,rilascio_recente_2015,qualita_abbinamento,includi_analisi_spotify,record_canzone_unico
1951,1950,Anni 1950,Grazie dei fiori,Nilla Pizzi,Gian Carlo Testoni e Mario Panzeri,1º,1,1º posto,Vincitore,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,La luna si veste d'argento,Nilla Pizzi e Achille Togliani,Biri,2º,2,2º-3º posto,Podio,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Serenata a nessuno,Achille Togliani,Walter Colì,3º,3,2º-3º posto,Podio,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Al mercato di Pizzighettone,Achille Togliani e Duo Fasano,Aldo Locatelli,F,,Senza posizione numerica,Finalista senza posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Eco tra gli abeti,Nilla Pizzi e Achille Togliani,Enzo Bonagura,F,,Senza posizione numerica,Finalista senza posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Famme durmì,Achille Togliani e Duo Fasano,Danpa,F,,Senza posizione numerica,Finalista senza posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,La cicogna distratta,Duo Fasano,Aldo Valleroni e Da Rovere,F,,Senza posizione numerica,Finalista senza posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,La margherita,Nilla Pizzi e Duo Fasano,Ester B. Valdes,F,,Senza posizione numerica,Finalista senza posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Sedici anni,Achille Togliani,Astro Mari,F,,Senza posizione numerica,Finalista senza posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Sotto il mandorlo,Duo Fasano,Gian Carlo Testoni e Mario Panzeri,F,,Senza posizione numerica,Finalista senza posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,È l'alba,Nilla Pizzi,Gian Carlo Testoni,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Ho pianto una volta sola,Nilla Pizzi,Pinchi,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Mai più,Achille Togliani,Filippo Rolando,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Mani che si cercano,Achille Togliani,Giovanna Colombi,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Mia cara Napoli,Nilla Pizzi,Salvatore Mazzocco,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
